keyPressed,wordSaid,timeStamp
SENTINEL,NONE,2716
SENTINEL,NONE,2874
SENTINEL,NONE,3037
SENTINEL,NONE,3305
SENTINEL,NONE,7075
None,one,7100
None,one,7200
None,one,7300
None,one,7400
None,one,7500
None,one,7600
None,one,7700
None,one,7800
None,one,7900
None,one,8000
None,one,8100
None,one,8200
None,one,8300
None,one,8400
None,one,8500
None,two,8600
None,two,8700
None,two,8800
None,two,8900
None,two,9000
None,two,9100
None,two,9200
None,two,9300
None,two,9400
None,two,9500
None,two,9600
None,one,9700
None,one,9800
None,one,9900
None,one,10000
None,one,10100
None,one,10200
None,one,10300
None,one,10400
None,one,10500
None,one,10600
None,two,10700
None,two,10800
None,two,10900
None,two,11000
None,two,11100
None,two,11200
None,two,11300
None,two,11400
None,two,11500
None,two,11600
None,one,11700
None,one,11800
None,one,11900
None,one,12000
None,one,12100
None,one,12200
None,one,12300
None,one,12400
None,one,12500
None,one,12600
None,two,12700
None,two,12800
None,two,12900
None,two,13000
None,two,13100
None,two,13200
None,two,13300
None,two,13400
None,two,13500
None,two,13600
None,two,13700
None,one,13800
None,one,13900
None,one,14000
None,one,14100
None,one,14200
None,one,14300
None,one,14400
None,one,14500
None,one,14600
None,one,14700
None,two,14800
None,two,14900
None,two,15000
None,two,15100
None,two,15200
None,two,15300
None,two,15400
None,two,15500
None,two,15600
None,two,15700
None,one,15800
None,one,15900
None,one,16000
None,one,16100
None,one,16200
None,one,16300
None,one,16400
None,one,16500
None,one,16600
None,one,16700
None,two,16800
None,two,16900
None,two,17000
None,two,17100
None,two,17200
None,two,17300
None,two,17400
None,two,17500
None,two,17600
None,two,17700
None,one,17800
None,one,17900
None,one,18000
None,one,18100
None,one,18200
None,one,18300
None,one,18400
None,one,18500
None,one,18600
None,one,18700
None,one,18800
None,two,18900
None,two,19000
None,two,19100
None,two,19200
None,two,19300
None,two,19400
None,two,19500
None,two,19600
None,two,19700
None,two,19800
None,one,19900
None,one,20000
None,one,20100
None,one,20200
None,one,20300
None,one,20400
None,one,20500
None,one,20600
None,one,20700
None,one,20800
None,two,20900
None,two,21000
None,two,21100
None,two,21200
None,two,21300
None,two,21400
None,two,21500
None,two,21600
None,two,21700
None,two,21800
None,one,21900
None,one,22000
None,one,22100
None,one,22200
None,one,22300
None,one,22400
None,one,22500
None,one,22600
None,one,22700
None,one,22800
None,one,22900
None,two,23000
None,two,23100
None,two,23200
None,two,23300
None,two,23400
None,two,23500
None,two,23600
None,two,23700
None,two,23800
None,two,23900
None,one,24000
None,one,24100
None,one,24200
None,one,24300
None,one,24400
None,one,24500
None,one,24600
None,one,24700
None,one,24800
None,one,24900
None,one,25000
None,two,25100
None,two,25200
None,two,25300
None,two,25400
None,two,25500
None,two,25600
None,two,25700
None,two,25800
None,two,25900
None,two,26000
None,one,26100
None,one,26200
None,one,26300
None,one,26400
None,one,26500
None,one,26600
None,one,26700
None,one,26800
None,one,26900
None,one,27000
None,two,27100
None,two,27200
None,two,27300
None,two,27400
None,two,27500
None,two,27600
None,two,27700
None,two,27800
None,two,27900
None,two,28000
None,one,28100
None,one,28200
None,one,28300
None,one,28400
None,one,28500
None,one,28600
None,one,28700
None,one,28800
None,one,28900
None,one,29000
None,two,29100
None,two,29200
None,two,29300
None,two,29400
None,two,29500
None,two,29600
None,two,29700
None,two,29800
None,two,29900
None,two,30000
None,one,30100
None,one,30200
None,one,30300
None,one,30400
None,one,30500
None,one,30600
None,one,30700
None,one,30800
None,one,30900
None,one,31000
None,two,31100
None,two,31200
None,two,31300
None,two,31400
None,two,31500
None,two,31600
None,two,31700
None,two,31800
None,two,31900
None,two,32000
None,two,32100
None,one,32200
None,one,32300
None,one,32400
None,one,32500
None,one,32600
None,one,32700
None,one,32800
None,one,32900
None,one,33000
None,one,33100
None,two,33200
None,two,33300
None,two,33400
None,two,33500
None,two,33600
None,two,33700
None,two,33800
None,two,33900
None,two,34000
None,two,34100
None,one,34200
None,one,34300
None,one,34400
None,one,34500
None,one,34600
None,one,34700
None,one,34800
None,one,34900
None,one,35000
None,one,35100
None,two,35200
None,two,35300
None,two,35400
None,two,35500
None,two,35600
None,two,35700
None,two,35800
None,two,35900
None,two,36000
None,two,36100
None,one,36200
None,one,36300
None,one,36400
